1364,https://www.transfermarkt.com/pau-lopez/profil/spieler/286415,300000,RCD Espanyol Barcelona,"Jan 23, 2015"
1435,https://www.transfermarkt.com/ravel-morrison/profil/spieler/128907,300000, D6stersunds FK,"Jun 28, 2019"
1495,https://www.transfermarkt.com/ryan-babel/profil/spieler/16135,300000,Ajax Amsterdam,"Nov 21, 2004"
1535,https://www.transfermarkt.com/salomon-rondon/profil/spieler/80197,300000,UD Las Palmas,"Jul 25, 2008"
1536,https://www.transfermarkt.com/salomon-rondon/profil/spieler/80197,300000,UD Las Palmas,"Jan 14, 2009"
1537,https://www.transfermarkt.com/salomon-rondon/profil/spieler/80197,300000,UD Las Palmas,"Aug 6, 2009"
158,https://www.transfermarkt.com/arouna-kone/profil/spieler/8552,325000,Sivasspor,"Apr 8, 2020"
1901,https://www.transfermarkt.com/tony-andreu/profil/spieler/87789,325000,St. Mirren FC,"Apr 8, 2020"
1902,https://www.transfermarkt.com/tony-andreu/profil/spieler/87789,325000,Ross County FC,"Jan 18, 2021"
70,https://www.transfermarkt.com/alex-bruce/profil/spieler/37957,350000,Wigan Athletic,"Sep 24, 2018"
297,https://www.transfermarkt.com/claudio-gomes/profil/spieler/395239,350000,PSV Eindhoven U21,"Apr 8, 2020"
304,https://www.transfermarkt.com/conor-hourihane/profil/spieler/61653,350000,Barnsley FC,"Feb 27, 2015"
510,https://www.transfermarkt.com/florent-hadergjonaj/profil/spieler/238809,350000,BSC Young Boys,"Jul 16, 2014"
644,https://www.transfermarkt.com/jakob-haugaard/profil/spieler/138335,350000,FC Midtjylland,"Jan 17, 2013"
645,https://www.transfermarkt.com/jakob-haugaard/profil/spieler/138335,350000,FC Midtjylland,"Jun 17, 2013"
655,https://www.transfermarkt.com/jakob-haugaard/profil/spieler/138335,350000,Stoke City,"Jun 28, 2019"
715,https://www.transfermarkt.com/joel-pereira/profil/spieler/192611,350000,Huddersfield Town,"Oct 15, 2020"
750,https://www.transfermarkt.com/jonas-lossl/profil/spieler/48870,350000,FC Midtjylland,"Apr 25, 2010"
992,https://www.transfermarkt.com/mame-diouf/profil/spieler/62049,350000,Molde FK,"Aug 21, 2008"
1206,https://www.transfermarkt.com/molla-wague/profil/spieler/129893,350000,SM Caen,"Dec 24, 2011"
1231,https://www.transfermarkt.com/neeskens-kebano/profil/spieler/111422,350000,Paris Saint Germain,"Dec 24, 2011"
1258,https://www.transfermarkt.com/ola-toivonen/profil/spieler/36500,350000, D6rgryte IS,"May 27, 2006"
1384,https://www.transfermarkt.com/philip-billing/profil/spieler/320411,350000,Huddersfield Town,"Feb 27, 2017"
1432,https://www.transfermarkt.com/ravel-morrison/profil/spieler/128907,350000,SS Lazio,"Jul 1, 2017"
1894,https://www.transfermarkt.com/tony-andreu/profil/spieler/87789,350000,Hamilton Academical FC,"Oct 8, 2014"
1994,https://www.transfermarkt.com/youssouf-mulumbu/profil/spieler/45272,350000,Paris Saint Germain,"Dec 23, 2006"
6,https://www.transfermarkt.com/ales-mateju/profil/spieler/242078,400000,FC Viktoria Plzen,"Oct 14, 2015"
55,https://www.transfermarkt.com/alex-bruce/profil/spieler/37957,400000,Ipswich Town,"Sep 17, 2006"
157,https://www.transfermarkt.com/arouna-kone/profil/spieler/8552,400000,Sivasspor,"Jan 3, 2020"
164,https://www.transfermarkt.com/asmir-begovic/profil/spieler/33873,400000,Portsmouth FC,"Jun 25, 2009"
222,https://www.transfermarkt.com/brad-guzan/profil/spieler/39471,400000,Atlanta United FC,"Aug 26, 2020"
